ACD,FOUT_avg,FOUT_max,FOUT_sum,MLOC_avg,MLOC_max,MLOC_sum,NBD_avg,NBD_max,NBD_sum,NOF_avg,NOF_max,NOF_sum,NOI,NOM_avg,NOM_max,NOM_sum,NOT,NSF_avg,NSF_max,NSF_sum,NSM_avg,NSM_max,NSM_sum,PAR_avg,PAR_max,PAR_sum,TLOC,VG_avg,VG_max,VG_sum,CompilationUnit,bug
0,6.176470588,63,210,12.94117647,174,440,1.823529412,8,62,3,3,3,0,34,34,34,1,2,2,2,0,0,0,0.529411765,5,18,533,3.441176471,32,117,1,0
0,3.909090909,30,43,10.72727273,54,118,1.636363636,4,18,3,3,3,0,11,11,11,1,2,2,2,0,0,0,1.090909091,2,12,163,4.181818182,14,46,1,0
0,4.666666667,13,42,7.333333333,21,66,2.111111111,4,19,3,3,3,0,9,9,9,1,0,0,0,0,0,0,0.666666667,3,6,101,3,7,27,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,1,2,2,8,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,32,0,3,3,3,0,0,0,0.15625,3,5,47,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,11,11,0,0,0,0,0,0,0,0.636363636,2,7,18,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,13,13,0,0,0,0,0,0,0,1.153846154,2,15,35,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2,2,2,6,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,8,8,0,0,0,0,0,0,0,0.375,1,3,14,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,5,5,5,0,0,0,0,0,0,11,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,15,15,0,4,4,4,0,0,0,0.8,4,12,32,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0
0,2.5,3,5,1,1,2,1,1,2,0,0,0,0,2,2,2,1,1,1,1,0,0,0,0,0,0,20,1,1,2,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,7,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0
0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,9,1,1,1,1,0
0,1.2,8,24,2.7,12,54,1.1,2,22,5,6,10,0,10,15,20,1,0,0,0,0,0,0,0.75,4,15,116,1.2,4,24,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,9,0,0,0,0,0,0,0,0.111111111,1,1,13,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,19,19,0,2,2,2,0,0,0,0.631578947,3,12,35,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,0,0,0,0,0,0,0,0.5,1,2,9,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,8,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,4,4,4,0,0,0,1,1,1,8,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,9,0,7,7,7,0,0,0,0,0,0,19,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,0,0,0,0,0,0,0,1.666666667,4,5,12,0,0,0,1,0
0,4.833333333,21,58,11.66666667,51,140,2.416666667,7,29,0.5,1,1,0,5.5,9,11,1,0.5,1,1,0.5,1,1,1.666666667,4,20,196,3.75,12,45,1,0
0,2.166666667,5,13,3.166666667,10,19,1.166666667,2,7,2,2,2,0,6,6,6,1,0,0,0,0,0,0,0.5,3,3,42,1.333333333,3,8,1,0
0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,9,1,1,1,1,0
0,2.5,5,10,2,4,8,1,1,4,0,0,0,0,4,4,4,1,0,0,0,0,0,0,0.5,1,2,20,1.25,2,5,1,0
0,2.285714286,15,48,5.571428571,40,117,1.523809524,7,32,1,1,1,0,21,21,21,1,5,5,5,0,0,0,0.857142857,5,18,188,2.238095238,12,47,1,0
0,1,5,5,3,10,15,1.2,2,6,2,2,2,0,5,5,5,1,0,0,0,0,0,0,0.6,1,3,35,1.2,2,6,1,0
0,0.75,1,3,0.75,1,3,1,1,4,0,0,0,0,1,1,1,1,0,0,0,3,3,3,0.25,1,1,20,1,1,4,1,0
0,3,6,6,4,7,8,1,1,2,0,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,17,1.5,2,3,1,0
0,5.692307692,22,74,11.69230769,33,152,2.076923077,5,27,0,0,0,0,0,0,0,1,6,6,6,13,13,13,1.538461538,5,20,207,3.615384615,7,47,1,0
0,0,0,0,1.333333333,3,4,1,2,3,1,1,1,0,3,3,3,1,0,0,0,0,0,0,1.666666667,4,5,19,1,2,3,1,0
0,1.666666667,4,10,3.833333333,13,23,1.333333333,3,8,2,2,2,0,6,6,6,1,1,1,1,0,0,0,0.5,2,3,45,2.333333333,6,14,1,0
0,1.25,2,5,3.25,6,13,1,1,4,0,0,0,0,0,0,0,1,0,0,0,4,4,4,0,0,0,25,1.75,3,7,1,0
0,0.428571429,1,3,1.428571429,3,10,1,1,7,3,3,3,0,7,7,7,1,0,0,0,0,0,0,0.571428571,2,4,34,1,1,7,1,0
1,1.307692308,4,17,2.923076923,12,38,1.230769231,3,16,4,4,4,0,12,12,12,1,1,1,1,1,1,1,0.461538462,2,6,77,1.230769231,2,16,1,0
0,0.461538462,1,6,1.923076923,5,25,1,1,13,6,6,6,0,13,13,13,1,1,1,1,0,0,0,0.461538462,1,6,61,1.153846154,2,15,1,0
0,15.35135135,127,568,23.18918919,218,858,1.918918919,4,71,7,7,7,0,37,37,37,1,29,29,29,0,0,0,1.540540541,4,57,1003,6.594594595,54,244,1,0
0,9.821428571,46,275,14.5,74,406,1.678571429,4,47,7,7,7,0,28,28,28,1,17,17,17,0,0,0,1.5,4,42,511,4.571428571,20,128,1,0
0,1.677966102,19,99,2.779661017,11,164,1,1,59,26,26,26,0,59,59,59,1,0,0,0,0,0,0,0.559322034,2,33,323,1.440677966,3,85,1,0
0,0.625,5,5,2.375,12,19,1.25,3,10,0,0,0,0,8,8,8,1,0,0,0,0,0,0,0.125,1,1,46,1.25,3,10,1,0
0,1.315789474,7,25,2.526315789,8,48,1,1,19,7,7,7,0,19,19,19,1,0,0,0,0,0,0,0.578947368,2,11,104,1.473684211,4,28,1,0
0,0.428571429,1,3,1.428571429,2,10,1,1,7,3,3,3,0,7,7,7,1,0,0,0,0,0,0,0.428571429,1,3,30,1,1,7,1,0
0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,2,7,1,1,1,1,0
0,0.444444444,1,4,1.444444444,3,13,1,1,9,4,4,4,0,9,9,9,1,0,0,0,0,0,0,0.555555556,2,5,42,1,1,9,1,0
0,0,0,0,1.5,2,3,1,1,2,1,1,1,0,2,2,2,1,0,0,0,0,0,0,0.5,1,1,11,1,1,2,1,0
0,2.230769231,10,29,4,19,52,1.230769231,2,16,1,1,1,0,13,13,13,1,2,2,2,0,0,0,1.307692308,3,17,98,2.615384615,9,34,1,0
0,0.333333333,1,1,1.333333333,2,4,1,1,3,1,1,1,0,3,3,3,1,0,0,0,0,0,0,0.333333333,1,1,14,1,1,3,1,0
0,2,8,18,2.333333333,7,21,1,1,9,3,3,3,0,9,9,9,1,0,0,0,0,0,0,0.444444444,1,4,45,1.222222222,2,11,1,0
